Date,Close,High,Low,Open,Volume
2024-02-28,17915.25,18019.75,17846.25,18014.0,1150849
2024-02-29,18082.75,18109.0,17826.25,17868.25,1268633
2024-03-01,18338.25,18372.5,18030.25,18071.5,1249451
2024-03-04,18262.0,18378.25,18233.5,18335.0,911020
2024-03-05,17930.25,18254.0,17832.5,18248.5,1401867
2024-03-06,18044.25,18174.25,17942.5,17982.0,1550397
2024-03-07,18316.25,18360.0,17915.5,18040.0,1385293
2024-03-08,18046.75,18436.25,18012.25,18275.0,1807424
2024-03-11,17971.0,18060.25,17890.0,18058.0,722540
2024-03-12,18227.75,18242.0,17929.75,18008.0,498573
2024-03-13,18078.5,18257.0,18033.75,18227.5,282337
2024-03-14,18024.5,18178.25,17915.25,18093.0,204315
2024-03-15,17854.75,18075.0,17854.75,18012.75,1440856
2024-03-18,18231.5,18380.75,18062.25,18072.75,1439715
2024-03-19,18270.0,18289.5,18053.25,18224.0,1407309
2024-03-20,18479.75,18545.5,18227.5,18275.0,1326200
2024-03-21,18561.75,18708.5,18526.5,18537.0,1423417
2024-03-22,18574.75,18626.0,18492.75,18579.5,1204558
2024-03-25,18513.5,18601.25,18415.0,18566.75,1074800
2024-03-26,18449.0,18618.75,18439.25,18534.0,1073280
2024-03-27,18503.75,18572.25,18378.5,18478.0,1227152
2024-03-28,18475.0,18539.25,18447.25,18506.0,1032864
2024-04-01,18497.25,18611.75,18414.5,18500.0,1215598
2024-04-02,18330.0,18514.0,18201.0,18497.75,1194869
2024-04-03,18373.25,18452.0,18232.75,18347.75,1273758
2024-04-04,18076.75,18568.25,18055.0,18389.0,1460444
2024-04-05,18300.75,18407.75,18043.5,18088.0,1769145
2024-04-08,18295.0,18377.5,18237.75,18346.5,1336228
2024-04-09,18359.75,18407.5,18160.25,18317.0,1614368
2024-04-10,18196.75,18470.0,18054.0,18384.0,1719178
2024-04-11,18485.0,18519.25,18085.0,18190.75,1558409
2024-04-12,18179.25,18507.75,18120.0,18485.5,1598155
2024-04-15,17876.25,18351.0,17841.5,18151.75,1655049
2024-04-16,17881.25,17988.0,17791.25,17882.0,1702156
2024-04-17,17658.5,17968.25,17616.0,17897.75,1769687
2024-04-18,17547.25,17771.0,17505.0,17674.0,1605478
2024-04-19,17180.75,17552.5,17113.75,17530.0,2074312
2024-04-22,17350.0,17448.0,17148.75,17228.25,1433387
2024-04-23,17606.75,17666.75,17285.5,17350.0,1281339
2024-04-24,17664.5,17795.75,17480.0,17680.25,1572984
2024-04-25,17567.5,17827.75,17308.0,17451.5,1736783
2024-04-26,17845.75,17901.25,17668.25,17811.0,1388411
2024-04-29,17904.25,17949.0,17791.25,17864.5,1142207
2024-04-30,17571.25,17921.0,17473.25,17912.75,1410128
2024-05-01,17438.25,17791.75,17399.0,17471.5,1617842
2024-05-02,17649.75,17755.25,17386.0,17484.0,1470541
2024-05-03,18000.75,18050.0,17719.0,17745.0,1166459
2024-05-06,18195.5,18201.75,17983.75,18046.75,883244
2024-05-07,18199.5,18267.75,18150.75,18184.75,962783
2024-05-08,18186.5,18242.25,18072.5,18195.0,972666
2024-05-09,18214.5,18240.0,18104.25,18164.0,985807
2024-05-10,18255.0,18348.0,18188.25,18222.0,1020500
2024-05-13,18295.5,18336.75,18229.0,18237.5,834195
2024-05-14,18415.0,18433.75,18167.5,18284.75,1093349
2024-05-15,18691.75,18706.75,18392.75,18411.0,1139472
2024-05-16,18650.0,18760.75,18633.0,18694.5,1032088
2024-05-17,18635.25,18686.5,18545.0,18640.0,915114
2024-05-20,18763.0,18794.5,18631.5,18633.75,814867
2024-05-21,18799.25,18808.75,18678.0,18747.75,795662
2024-05-22,18786.75,18892.0,18684.0,18799.0,1000945
2024-05-23,18696.25,19022.5,18621.5,18854.0,1550885
2024-05-24,18876.0,18926.0,18678.0,18685.75,999287
2024-05-28,18940.5,18980.5,18819.5,18875.0,1241481
2024-05-29,18802.75,18951.0,18739.75,18950.0,1106627
2024-05-30,18606.5,18787.0,18548.0,18754.0,1242244
2024-05-31,18591.0,18668.0,18241.25,18591.0,1619606
2024-06-03,18646.25,18755.5,18436.0,18589.25,1426877
2024-06-04,18701.0,18753.25,18511.25,18663.0,1358531
2024-06-05,19074.25,19091.0,18695.5,18713.75,1127549
2024-06-06,19060.25,19124.25,19017.75,19088.0,1108835
2024-06-07,19037.75,19155.25,18940.0,19068.0,1244009
2024-06-10,19109.75,19129.75,18973.25,19026.25,1089354
2024-06-11,19242.25,19257.75,18994.75,19106.0,1053942
2024-06-12,19496.5,19612.0,19232.0,19250.0,1243606
2024-06-13,19602.5,19690.0,19500.0,19603.5,1258933
2024-06-14,19685.5,19700.0,19501.5,19602.5,1266176
2024-06-17,19921.25,20001.0,19640.25,19696.0,498540
2024-06-18,19919.25,19995.0,19851.75,19917.0,257983
2024-06-20,19763.25,20095.25,19693.75,19935.5,216984
2024-06-21,19747.2890625,19821.25,19685.75,19778.0,1207547
2024-06-24,19750.75,20030.0,19728.0,20014.25,1437347
2024-06-25,19972.25,19981.0,19725.25,19758.5,1215064
2024-06-26,20012.5,20070.5,19901.0,19972.0,1291240
2024-06-27,20039.5,20116.5,19873.5,19951.0,1312669
2024-06-28,19927.25,20273.25,19906.0,20066.75,1548389
2024-07-01,20052.0,20074.0,19811.5,19971.25,1497353
2024-07-02,20255.25,20259.5,19909.75,20048.0,1387325
2024-07-03,20411.5,20435.5,20205.0,20243.5,863708
2024-07-05,20620.75,20639.75,20361.0,20420.0,1248370
2024-07-08,20659.75,20688.25,20579.25,20591.0,1064217
2024-07-09,20678.5,20771.75,20616.0,20680.5,1231829
2024-07-10,20899.75,20917.5,20682.0,20687.75,1064186
2024-07-11,20441.75,20983.5,20376.25,20894.75,1797722
2024-07-12,20524.0,20741.0,20332.25,20430.75,1408802
2024-07-15,20583.75,20796.5,20506.25,20578.75,1471491
2024-07-16,20598.0,20684.0,20464.0,20625.0,1426846
2024-07-17,19997.5,20597.75,19965.75,20592.0,1779691
2024-07-18,19899.25,20162.75,19758.75,20024.25,1993373
2024-07-19,19713.0,19979.5,19654.0,19950.0,1803492
2024-07-22,20001.0,20044.25,19718.75,19747.75,1695864
2024-07-23,19925.0,20085.0,19868.25,19982.0,1557671
2024-07-24,19203.25,19886.75,19166.5,19886.75,1807926
2024-07-25,18992.25,19390.5,18883.5,19258.0,2467489
2024-07-26,19174.5,19299.0,18994.75,19000.25,1820569
2024-07-29,19209.25,19377.25,19113.0,19172.75,1726952
2024-07-30,18936.25,19319.25,18726.75,19220.0,1991370
2024-07-31,19505.25,19645.25,18862.0,18870.0,1853094
2024-08-01,19023.25,19716.75,18852.25,19588.0,2274486
2024-08-02,18556.25,18981.5,18385.75,18961.0,2403466
2024-08-05,18013.25,18394.0,17346.0,18391.75,3412620
2024-08-06,18179.0,18483.0,17961.25,18164.5,2073838
2024-08-07,17966.5,18558.5,17834.25,18040.25,2136701
2024-08-08,18525.25,18594.5,17745.0,17881.25,1842706
